Date,Title,0,0 (0 bps),1 (25 bps),10 (250 bps),11 (275 bps),12+ (300+ bps),2 (50 bps),25 bps decrease,25+ bps increase,3 (75 bps),4 (100 bps),5 (125 bps),50 bps decrease,50+ bps decrease,6 (150 bps),7 (175 bps),75+ bps decrease,8 (200 bps),8 or more (200+ bps),9 (225 bps),Arthur Laffer,Bill Pulte,Chamath Palihapitiya,Chris Waller,Christopher Waller,Cut-Pause-Cut,Cut–Cut–Cut,Cut–Cut–Pause,Cut–Pause–Cut,Cut–Pause–Pause,David Malpass,David Zervos,Elon Musk,Howard Lutnick,James Bullard,Janet Yellen,Jerome Powell,Judy Shelton,Kevin Hassett,Kevin Warsh,Larry Kudlow,Larry Lindsey,Lorie K. Logan,Marc Sumerlin,Michelle Bowman,No Change,No announcement by December 31,No change,No one nominated before 2027,Other,Pause–Cut–Cut,Pause–Cut–Pause,Philip Jefferson,Price,Rick Rieder,Roger W. Ferguson Jr.,Ron Paul,Scott Bessent,Stephen Miran
2024-08-24,Fed Interest Rates November 2024,,,,,,,,0.625,0.008,,,,0.24,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,
2024-08-25,Fed Interest Rates November 2024,,,,,,,,0.565,0.0105,,,,0.25,,,,0.0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,,,,,,,,,,,,,
2024-08-26,Fed Interest Rates November 2024,,,,,,,,0.555,0.009,,,,0.245,,,,0.0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,
2024-08-27,Fed Interest Rates November 2024,,,,,,,,0.555,0.009,,,,0.245,,,,0.0365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,
2024-08-28,Fed Interest Rates November 2024,,,,,,,,0.555,0.0105,,,,0.245,,,,0.0365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,
2024-08-29,Fed Interest Rates November 2024,,,,,,,,0.55,0.007,,,,0.285,,,,0.0405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,
2024-08-30,Fed Interest Rates November 2024,,,,,,,,0.555,0.0065,,,,0.285,,,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,
2024-08-31,Fed Interest Rates November 2024,,,,,,,,0.555,0.0065,,,,0.285,,,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,
2024-09-01,Fed Interest Rates November 2024,,,,,,,,0.555,0.0065,,,,0.29,,,,0.0365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,
2024-09-02,Fed Interest Rates November 2024,,,,,,,,0.555,0.0065,,,,0.29,,,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,
2024-09-03,Fed Interest Rates November 2024,,,,,,,,0.555,0.0065,,,,0.29,,,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,
2024-09-04,Fed Interest Rates November 2024,,,,,,,,0.545,0.0065,,,,0.315,,,,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,,,,,,,,,,,,
2024-09-05,Fed Interest Rates November 2024,,,,,,,,0.515,0.006,,,,0.355,,,,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,,,,,,,,,,,,
2024-09-06,Fed Interest Rates November 2024,,,,,,,,0.515,0.006,,,,0.34,,,,0.0415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,,,,,,,,,,,,
2024-09-07,Fed Interest Rates November 2024,,,,,,,,0.445,0.005,,,,0.415,,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,
2024-09-08,Fed Interest Rates November 2024,,,,,,,,0.44,0.006,,,,0.435,,,,0.0565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,
2024-09-09,Fed Interest Rates November 2024,,,,,,,,0.43,0.005,,,,0.44,,,,0.0605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,,
2024-09-10,Fed Interest Rates November 2024,,,,,,,,0.425,0.005,,,,0.455,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,
2024-09-11,Fed Interest Rates November 2024,,,,,,,,0.445,0.004,,,,0.465,,,,0.0465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,
2024-09-12,Fed Interest Rates November 2024,,,,,,,,0.455,0.0035,,,,0.46,,,,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,
2024-09-13,Fed Interest Rates November 2024,,,,,,,,0.445,0.0035,,,,0.41,,,,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,
2024-09-14,Fed Interest Rates November 2024,,,,,,,,0.475,0.0035,,,,0.425,,,,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,
2024-09-15,Fed Interest Rates November 2024,,,,,,,,0.465,0.005,,,,0.445,,,,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,
2024-09-16,Fed Interest Rates November 2024,,,,,,,,0.455,0.0045,,,,0.445,,,,0.0495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,
2024-09-17,Fed Interest Rates November 2024,,,,,,,,0.435,0.004,,,,0.45,,,,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,
2024-09-18,Fed Interest Rates November 2024,,,,,,,,0.445,0.004,,,,0.37,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,,,,,,
2024-09-19,Fed Interest Rates November 2024,,,,,,,,0.615,0.0025,,,,0.31,,,,0.0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.0025,,,,,,,,,
2024-09-20,Fed Interest Rates November 2024,,,,,,,,0.56,0.0025,,,,0.34,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,0.0065,,,,,,,,,
2024-09-21,Fed Interest Rates November 2024,,,,,,,,0.515,0.002,,,,0.425,,,,0.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.003,,,,,,,,,
2024-09-22,Fed Interest Rates November 2024,,,,,,,,0.505,0.0015,,,,0.435,,,,0.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,0.0025,,,,,,,,,
2024-09-23,Fed Interest Rates November 2024,,,,,,,,0.445,0.0015,,,,0.485,,,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,0.0025,,,,,,,,,
2024-09-24,Fed Interest Rates November 2024,,,,,,,,0.51,0.0015,,,,0.42,,,,0.0245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,0.0025,,,,,,,,,
2024-09-25,Fed Interest Rates November 2024,,,,,,,,0.44,0.0015,,,,0.485,,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.0025,,,,,,,,,
2024-09-26,Fed Interest Rates November 2024,,,,,,,,0.425,0.0015,,,,0.515,,,,0.0215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.0025,,,,,,,,,
2024-09-27,Fed Interest Rates November 2024,,,,,,,,0.48,0.002,,,,0.455,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0425,,,,0.0025,,,,,,,,,
2024-09-28,Fed Interest Rates November 2024,,,,,,,,0.495,0.0025,,,,0.455,,,,0.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,,,,0.0025,,,,,,,,,
2024-09-29,Fed Interest Rates November 2024,,,,,,,,0.485,0.002,,,,0.465,,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0325,,,,0.0015,,,,,,,,,
2024-09-30,Fed Interest Rates November 2024,,,,,,,,0.505,0.002,,,,0.445,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0325,,,,0.002,,,,,,,,,
2024-10-01,Fed Interest Rates November 2024,,,,,,,,0.64,0.0015,,,,0.32,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,0.0015,,,,,,,,,
2024-10-02,Fed Interest Rates November 2024,,,,,,,,0.62,0.0015,,,,0.335,,,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0375,,,,0.0015,,,,,,,,,
2024-10-03,Fed Interest Rates November 2024,,,,,,,,0.63,0.0015,,,,0.32,,,,0.0145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,,,,0.0015,,,,,,,,,
2024-10-04,Fed Interest Rates November 2024,,,,,,,,0.66,0.0015,,,,0.29,,,,0.0145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,,,,0.0015,,,,,,,,,
2024-10-05,Fed Interest Rates November 2024,,,,,,,,0.79,0.0025,,,,0.115,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,0.0015,,,,,,,,,
2024-10-06,Fed Interest Rates November 2024,,,,,,,,0.805,0.003,,,,0.125,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,0.0015,,,,,,,,,
2024-10-07,Fed Interest Rates November 2024,,,,,,,,0.82,0.0025,,,,0.105,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0765,,,,0.0015,,,,,,,,,
2024-10-08,Fed Interest Rates November 2024,,,,,,,,0.735,0.0025,,,,0.095,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1685,,,,0.0025,,,,,,,,,
2024-10-09,Fed Interest Rates November 2024,,,,,,,,0.785,0.0025,,,,0.085,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1295,,,,0.0025,,,,,,,,,
2024-10-10,Fed Interest Rates November 2024,,,,,,,,0.75,0.0025,,,,0.075,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172,,,,0.0025,,,,,,,,,
2024-10-11,Fed Interest Rates November 2024,,,,,,,,0.765,0.0025,,,,0.075,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,,,,0.0025,,,,,,,,,
2024-10-12,Fed Interest Rates November 2024,,,,,,,,0.795,0.0025,,,,0.075,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,,,,0.0025,,,,,,,,,
2024-10-13,Fed Interest Rates November 2024,,,,,,,,0.795,0.0025,,,,0.085,,,,0.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,,,0.0025,,,,,,,,,
2024-10-14,Fed Interest Rates November 2024,,,,,,,,0.795,0.003,,,,0.085,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1095,,,,0.0025,,,,,,,,,
2024-10-15,Fed Interest Rates November 2024,,,,,,,,0.755,0.0025,,,,0.075,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1585,,,,0.0025,,,,,,,,,
2024-10-16,Fed Interest Rates November 2024,,,,,,,,0.805,0.0025,,,,0.045,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,,,,0.0025,,,,,,,,,
2024-10-17,Fed Interest Rates November 2024,,,,,,,,0.8,0.0025,,,,0.045,,,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1075,,,,0.0025,,,,,,,,,
2024-10-18,Fed Interest Rates November 2024,,,,,,,,0.79,0.0025,,,,0.041,,,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,0.0015,,,,,,,,,
2024-10-19,Fed Interest Rates November 2024,,,,,,,,0.84,0.0025,,,,0.038,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1065,,,,0.0015,,,,,,,,,
2024-10-20,Fed Interest Rates November 2024,,,,,,,,0.85,0.0025,,,,0.0385,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0925,,,,0.0025,,,,,,,,,
2024-10-21,Fed Interest Rates November 2024,,,,,,,,0.865,0.0025,,,,0.0415,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0955,,,,0.0025,,,,,,,,,
2024-10-22,Fed Interest Rates November 2024,,,,,,,,0.835,0.0025,,,,0.048,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1115,,,,0.0025,,,,,,,,,
2024-10-23,Fed Interest Rates November 2024,,,,,,,,0.82,0.002,,,,0.054,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121,,,,0.002,,,,,,,,,
2024-10-24,Fed Interest Rates November 2024,,,,,,,,0.82,0.002,,,,0.0525,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133,,,,0.002,,,,,,,,,
2024-10-25,Fed Interest Rates November 2024,,,,,,,,0.835,0.002,,,,0.0475,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1175,,,,0.002,,,,,,,,,
2024-10-26,Fed Interest Rates November 2024,,,,,,,,0.825,0.0015,,,,0.0555,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1195,,,,0.0025,,,,,,,,,
2024-10-27,Fed Interest Rates November 2024,,,,,,,,0.835,0.002,,,,0.049,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1165,,,,0.003,,,,,,,,,
2024-10-28,Fed Interest Rates November 2024,,,,,,,,0.825,0.0015,,,,0.0515,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,0.0015,,,,,,,,,
2024-10-29,Fed Interest Rates November 2024,,,,,,,,0.84,0.002,,,,0.0475,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1145,,,,0.002,,,,,,,,,
2024-10-30,Fed Interest Rates November 2024,,,,,,,,0.845,0.0015,,,,0.056,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1005,,,,0.0015,,,,,,,,,
2024-10-31,Fed Interest Rates November 2024,,,,,,,,0.855,0.002,,,,0.061,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0865,,,,0.0025,,,,,,,,,
2024-11-01,Fed Interest Rates November 2024,,,,,,,,0.835,0.002,,,,0.0595,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099,,,,0.003,,,,,,,,,
2024-11-02,Fed Interest Rates November 2024,,,,,,,,0.925,0.0015,,,,0.0485,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,,,,0.0035,,,,,,,,,
2024-11-03,Fed Interest Rates November 2024,,,,,,,,0.925,0.0025,,,,0.0465,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,,,0.003,,,,,,,,,
2024-11-04,Fed Interest Rates November 2024,,,,,,,,0.93,0.0015,,,,0.039,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,0.0025,,,,,,,,,
2024-11-05,Fed Interest Rates November 2024,,,,,,,,0.935,0.002,,,,0.0325,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,,,,0.002,,,,,,,,,
2024-11-06,Fed Interest Rates November 2024,,,,,,,,0.935,0.0035,,,,0.0345,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,0.002,,,,,,,,,
2024-11-07,Fed Interest Rates November 2024,,,,,,,,0.9535,0.003,,,,0.021,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,0.0015,,,,,,,,,
2024-12-19,Fed decision in March2025,,,,,,,,0.345,0.0295,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,,,,
2024-12-20,Fed decision in March2025,,,,,,,,0.315,0.0145,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,
2024-12-21,Fed decision in March2025,,,,,,,,0.325,0.021,,,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605,,,,,,,,,,,,,
2024-12-22,Fed decision in March2025,,,,,,,,0.345,0.0195,,,,,0.0445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,,,,
2024-12-23,Fed decision in March2025,,,,,,,,0.355,0.0185,,,,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,,,,
2024-12-24,Fed decision in March2025,,,,,,,,0.335,0.0185,,,,,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615,,,,,,,,,,,,,
2024-12-25,Fed decision in March2025,,,,,,,,0.345,0.0165,,,,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615,,,,,,,,,,,,,
2024-12-26,Fed decision in March2025,,,,,,,,0.345,0.0175,,,,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615,,,,,,,,,,,,,
2024-12-27,Fed decision in March2025,,,,,,,,0.335,0.0145,,,,,0.0355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615,,,,,,,,,,,,,
2024-12-28,Fed decision in March2025,,,,,,,,0.35,0.0105,,,,,0.0275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,,,,
2024-12-29,Fed decision in March2025,,,,,,,,0.355,0.0085,,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,,,,
2024-12-30,Fed decision in March2025,,,,,,,,0.355,0.0085,,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,,,,
2024-12-30,Fed emergency rate cut in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255,,,,,
2024-12-30,Fed rate hike in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,,,,
2024-12-30,How many Fed rate cuts in 2025,0.14,,0.18,,,,0.18,,,0.16,0.15,0.12,,,0.12,0.145,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,Fed decision in March2025,,,,,,,,0.37,0.0085,,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,,,,
2024-12-31,Fed emergency rate cut in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,
2024-12-31,Fed rate hike in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,,,,,
2024-12-31,How many Fed rate cuts in 2025,0.11,,0.19,,,,0.275,,,0.2,0.115,0.032,,,0.0235,0.0355,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,Fed decision in March2025,,,,,,,,0.375,0.0085,,,,,0.0265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,,,,
2025-01-01,Fed emergency rate cut in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,,,,
2025-01-01,Fed rate hike in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,
2025-01-01,How many Fed rate cuts in 2025,0.105,,0.19,,,,0.28,,,0.2,0.115,0.0315,,,0.0245,0.0335,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,Fed decision in March2025,,,,,,,,0.375,0.0085,,,,,0.0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,,,,
2025-01-02,Fed emergency rate cut in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,,,,
2025-01-02,Fed rate hike in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,,,,,
2025-01-02,How many Fed rate cuts in 2025,0.115,,0.18,,,,0.275,,,0.19,0.115,0.0415,,,0.028,0.0305,,,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-03,Fed decision in March2025,,,,,,,,0.385,0.009,,,,,0.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585,,,,,,,,,,,,,
2025-01-03,Fed emergency rate cut in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,,,,,
2025-01-03,Fed rate hike in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,,,,
2025-01-03,How many Fed rate cuts in 2025,0.115,,0.165,,,,0.275,,,0.225,0.115,0.034,,,0.026,0.0305,,,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-04,Fed decision in March2025,,,,,,,,0.355,0.009,,,,,0.0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,
2025-01-04,Fed emergency rate cut in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,,,,,
2025-01-04,Fed rate hike in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185,,,,,
2025-01-04,How many Fed rate cuts in 2025,0.105,,0.165,,,,0.275,,,0.225,0.115,0.0335,,,0.0255,0.0305,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-05,Fed decision in March2025,,,,,,,,0.355,0.0095,,,,,0.0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,,,,
2025-01-05,Fed emergency rate cut in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,,,,,
2025-01-05,Fed rate hike in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,
