"Date (UTC)","Timestamp (UTC)","50+ bps decrease","25 bps decrease","No change","25+ bps increase"
"03-16-2025 00:00","1742083204","0.049","0.57","0.315","0.024"
"03-17-2025 00:00","1742169604","0.047","0.575","0.315","0.024"
"03-18-2025 00:00","1742256005","0.046","0.52","0.375","0.0245"
"03-19-2025 00:00","1742342405","0.0575","0.49","0.395","0.0265"
"03-20-2025 00:00","1742428805","0.042","0.48","0.455","0.024"
"03-21-2025 00:00","1742515205","0.0435","0.575","0.365","0.0215"
"03-22-2025 00:00","1742601606","0.035","0.585","0.345","0.0155"
"03-23-2025 00:00","1742688006","0.0335","0.585","0.345","0.0145"
"03-24-2025 00:00","1742774405","0.036","0.585","0.345","0.0145"
"03-25-2025 00:00","1742860806","0.0435","0.48","0.405","0.0165"
"03-26-2025 00:00","1742947205","0.044","0.5","0.425","0.0115"
"03-27-2025 00:00","1743033606","0.044","0.495","0.415","0.0105"
"03-28-2025 00:00","1743120006","0.044","0.51","0.415","0.0105"
"03-29-2025 00:00","1743206406","0.0415","0.55","0.39","0.0085"
"03-30-2025 00:00","1743292806","0.0415","0.55","0.395","0.0095"
"03-31-2025 00:00","1743379205","0.0425","0.56","0.395","0.0095"
"04-01-2025 00:00","1743465605","0.031","0.535","0.43","0.0075"
"04-02-2025 00:00","1743552006","0.0295","0.525","0.425","0.0075"
"04-03-2025 00:00","1743638405","0.0315","0.52","0.43","0.007"
"04-04-2025 00:00","1743724805","0.0495","0.555","0.39","0.006"
"04-05-2025 00:00","1743811205","0.0785","0.585","0.33","0.0075"
"04-06-2025 00:00","1743897605","0.0675","0.555","0.375","0.0065"
"04-07-2025 00:00","1743984006","0.0665","0.57","0.33","0.006"
"04-08-2025 00:00","1744070406","0.124","0.49","0.34","0.0085"
"04-09-2025 00:00","1744156806","0.119","0.54","0.34","0.009"
"04-10-2025 00:00","1744243205","0.081","0.46","0.425","0.018"
"04-11-2025 00:00","1744329605","0.083","0.54","0.36","0.013"
"04-12-2025 00:00","1744416006","0.0875","0.535","0.37","0.0125"
"04-13-2025 00:00","1744502405","0.0875","0.5","0.405","0.0125"
"04-14-2025 00:00","1744588805","0.0865","0.5","0.4","0.0135"
"04-15-2025 00:00","1744675205","0.088","0.49","0.405","0.0165"
"04-16-2025 00:00","1744761605","0.087","0.49","0.415","0.016"
"04-17-2025 00:00","1744848006","0.087","0.45","0.435","0.0155"
"04-18-2025 00:00","1744934404","0.091","0.44","0.45","0.0155"
"04-19-2025 00:00","1745020806","0.094","0.43","0.48","0.009"
"04-20-2025 00:00","1745107206","0.0875","0.415","0.48","0.012"
"04-21-2025 00:00","1745193606","0.078","0.435","0.47","0.01"
"04-22-2025 00:00","1745280006","0.0805","0.455","0.455","0.013"
"04-23-2025 00:00","1745366407","0.078","0.445","0.46","0.0175"
"04-24-2025 00:00","1745452806","0.081","0.44","0.475","0.0175"
"04-25-2025 00:00","1745539206","0.068","0.45","0.45","0.0155"
"04-26-2025 00:00","1745625606","0.057","0.43","0.51","0.012"
"04-27-2025 00:00","1745712005","0.0585","0.4","0.52","0.0125"
"04-28-2025 00:00","1745798405","0.058","0.415","0.505","0.0105"
"04-29-2025 00:00","1745884805","0.0525","0.43","0.515","0.0105"
"04-30-2025 00:00","1745971206","0.0495","0.435","0.515","0.0105"
"05-01-2025 00:00","1746057606","0.0435","0.425","0.515","0.0215"
"05-02-2025 00:00","1746144006","0.0515","0.43","0.49","0.0185"
"05-03-2025 00:00","1746230406","0.0375","0.285","0.67","0.014"
"05-04-2025 00:00","1746316805","0.029","0.275","0.69","0.0115"
"05-05-2025 00:00","1746403205","0.0235","0.26","0.71","0.0105"
"05-06-2025 00:00","1746489606","0.0215","0.245","0.735","0.0095"
"05-07-2025 00:00","1746576005","0.0205","0.25","0.73","0.0095"
"05-08-2025 00:00","1746662406","0.0195","0.155","0.825","0.0075"
"05-09-2025 00:00","1746748807","0.019","0.145","0.835","0.0085"
"05-10-2025 00:00","1746835206","0.014","0.125","0.855","0.0085"
"05-11-2025 00:00","1746921606","0.0145","0.125","0.855","0.0085"
"05-12-2025 00:00","1747008006","0.014","0.125","0.855","0.0075"
"05-13-2025 00:00","1747094406","0.0085","0.095","0.895","0.0045"
"05-14-2025 00:00","1747180807","0.009","0.105","0.875","0.0045"
"05-15-2025 00:00","1747267207","0.0095","0.105","0.885","0.0045"
"05-16-2025 00:00","1747353606","0.0115","0.105","0.875","0.0045"
"05-17-2025 00:00","1747440007","0.0115","0.105","0.875","0.0045"
"05-18-2025 00:00","1747526406","0.0125","0.115","0.875","0.0045"
"05-19-2025 00:00","1747612806","0.0115","0.095","0.895","0.0035"
"05-20-2025 00:00","1747699206","0.0135","0.105","0.885","0.0035"
"05-21-2025 00:00","1747785606","0.0135","0.085","0.905","0.0045"
"05-22-2025 00:00","1747872007","0.0095","0.065","0.915","0.0045"
"05-23-2025 00:00","1747958407","0.0105","0.065","0.915","0.0045"
"05-24-2025 00:00","1748044807","0.0105","0.065","0.925","0.0045"
"05-25-2025 00:00","1748131206","0.0105","0.065","0.915","0.0045"
"05-26-2025 00:00","1748217607","0.0095","0.065","0.925","0.0045"
"05-27-2025 00:00","1748304006","0.009","0.055","0.935","0.0045"
"05-28-2025 00:00","1748390406","0.0075","0.045","0.94","0.0035"
"05-29-2025 00:00","1748476807","0.0065","0.045","0.955","0.0035"
"05-30-2025 00:00","1748563207","0.0055","0.0415","0.955","0.0035"
"05-31-2025 00:00","1748649607","0.0055","0.0415","0.955","0.0035"
"06-01-2025 00:00","1748736007","0.0055","0.041","0.955","0.0035"
"06-02-2025 00:00","1748822406","0.0045","0.0315","0.959","0.0025"
"06-03-2025 00:00","1748908807","0.0045","0.0375","0.9575","0.0025"
"06-04-2025 00:00","1748995206","0.0045","0.0235","0.971","0.0025"
"06-05-2025 00:00","1749081606","0.0045","0.0305","0.9635","0.0025"
"06-06-2025 00:00","1749168006","0.0045","0.03","0.966","0.0015"
"06-07-2025 00:00","1749254407","0.0045","0.016","0.98","0.0015"
"06-08-2025 00:00","1749340807","0.0045","0.015","0.9805","0.0015"
"06-09-2025 00:00","1749427207","0.0035","0.0205","0.9765","0.0015"
"06-10-2025 00:00","1749513606","0.0035","0.0275","0.971","0.0015"
"06-11-2025 00:00","1749600007","0.0035","0.0215","0.9755","0.0015"
"06-12-2025 00:00","1749686407","0.0035","0.0215","0.9745","0.0015"
"06-13-2025 00:00","1749772807","0.0035","0.0235","0.9715","0.0015"
"06-14-2025 00:00","1749859208","0.005","0.0245","0.9695","0.0005"
"06-15-2025 00:00","1749945608","0.0055","0.023","0.973","0.0005"
"06-16-2025 00:00","1750032007","0.0045","0.0215","0.9755","0.0005"
"06-17-2025 00:00","1750118408","0.0035","0.0205","0.9775","0.0005"
"06-18-2025 00:00","1750204808","0.003","0.015","0.9835","0.0005"
