"Date (UTC)","Timestamp (UTC)","No announcement by December 31","Kevin Warsh","Kevin Hassett","Chris Waller","Scott Bessent","Michelle Bowman","Arthur Laffer","Larry Kudlow","Judy Shelton","Ron Paul","Howard Lutnick","Chamath Palihapitiya","Elon Musk","Roger W. Ferguson Jr."
"05-14-2025 00:00","1747180807","0.67","0.175","0.033","","","","0.014","0.034","0.0345","0.016","","0.0095","",""
"05-15-2025 00:00","1747267207","0.685","0.175","0.033","","","","0.015","0.0345","0.0345","0.016","","0.0095","",""
"05-16-2025 00:00","1747353606","0.685","0.175","0.033","","","","0.015","0.035","0.037","0.0165","","0.0095","",""
"05-17-2025 00:00","1747440007","0.685","0.18","0.034","","","","0.015","0.035","0.0365","0.016","","0.01","",""
"05-18-2025 00:00","1747526406","0.71","0.18","0.034","","","","0.0135","0.035","0.0345","0.016","","0.01","",""
"05-19-2025 00:00","1747612806","0.765","0.18","0.021","","","","0.0095","0.0175","0.026","0.0065","","0.007","",""
"05-20-2025 00:00","1747699206","0.8","0.135","0.014","","","","0.0075","0.019","0.019","0.0055","","0.005","",""
"05-21-2025 00:00","1747785606","0.8","0.13","0.014","","","","0.008","0.0185","0.019","0.0055","","0.005","",""
"05-22-2025 00:00","1747872007","0.805","0.13","0.0185","","","","0.007","0.016","0.019","0.0055","","0.0055","",""
"05-23-2025 00:00","1747958407","0.825","0.125","0.018","","","","0.006","0.015","0.019","0.006","","0.0055","",""
"05-24-2025 00:00","1748044807","0.82","0.13","0.019","","","","0.007","0.016","0.019","0.0055","","0.0045","",""
"05-25-2025 00:00","1748131206","0.835","0.13","0.0145","","","","0.0075","0.016","0.0115","0.0045","","0.004","",""
"05-26-2025 00:00","1748217607","0.835","0.13","0.008","","","","0.0095","0.013","0.01","0.0045","","0.004","",""
"05-27-2025 00:00","1748304006","0.835","0.13","0.0075","","","","0.0065","0.0145","0.0095","0.0045","","0.004","",""
"05-28-2025 00:00","1748390406","0.835","0.13","0.0075","","","","0.0065","0.0085","0.0095","0.005","","0.005","",""
"05-29-2025 00:00","1748476807","0.835","0.13","0.0075","","","","0.009","0.014","0.0095","0.0045","","0.004","",""
"05-30-2025 00:00","1748563207","0.835","0.13","0.0075","","","","0.009","0.0125","0.0095","0.0045","","0.005","",""
"05-31-2025 00:00","1748649607","0.835","0.13","0.0075","","","","0.0065","0.0095","0.0095","0.0045","","0.005","",""
"06-01-2025 00:00","1748736007","0.835","0.13","0.0075","","","","0.0075","0.0095","0.0095","0.0045","","0.005","",""
"06-02-2025 00:00","1748822406","0.835","0.13","0.0075","","","","0.0065","0.012","0.01","0.004","","0.0035","",""
"06-03-2025 00:00","1748908807","0.835","0.13","0.0075","","","","0.0065","0.0095","0.01","0.004","","0.003","",""
"06-04-2025 00:00","1748995206","0.835","0.13","0.008","","","","0.009","0.0125","0.01","0.004","","0.003","",""
"06-05-2025 00:00","1749081606","0.835","0.13","0.0075","","","","0.008","0.013","0.0095","0.005","","0.003","",""
"06-06-2025 00:00","1749168006","0.835","0.13","0.0075","","","","0.008","0.0005","0.0095","0.005","","0.003","",""
"06-07-2025 00:00","1749254407","0.45","0.24","0.038","","","","0.009","0.0005","0.0095","0.005","","0.003","",""
"06-08-2025 00:00","1749340807","0.43","0.24","0.038","","","","0.008","0.0005","0.0095","0.005","","0.003","",""
"06-09-2025 00:00","1749427207","0.47","0.21","0.0395","","","","0.008","0.0005","0.0095","0.005","","0.003","",""
"06-10-2025 00:00","1749513606","0.465","0.2","0.011","","","","0.008","0.0005","0.1975","0.002","","0.002","",""
"06-11-2025 00:00","1749600007","0.52","0.065","0.1355","","0.255","","0.0035","0.0005","0.1835","0.0025","0.35","0.003","0.018",""
"06-12-2025 00:00","1749686407","0.27","0.2225","0.2445","","0.195","","0.0035","0.0005","0.076","0.0055","0.05","0.003","0.01",""
"06-13-2025 00:00","1749772807","0.265","0.203","0.244","","0.24","","0.0035","0.0005","0.105","0.0045","0.0245","0.003","0.0045",""
"06-14-2025 00:00","1749859208","0.285","0.182","0.244","","0.145","","0.0035","0.0005","0.1535","0.0045","0.016","0.003","0.0045",""
"06-15-2025 00:00","1749945608","0.225","0.189","0.254","","0.195","","0.0035","0.0005","0.133","0.0045","0.005","0.003","0.0035",""
"06-16-2025 00:00","1750032007","0.23","0.1925","0.253","","0.155","","0.0035","0.0005","0.134","0.0045","0.005","0.003","0.0035",""
"06-17-2025 00:00","1750118408","0.24","0.206","0.246","","0.135","","0.0035","0.0005","0.1545","0.0045","0.005","0.003","0.0035",""
"06-18-2025 00:00","1750204808","0.24","0.2055","0.247","","0.125","","0.0035","0.0005","0.1595","0.0045","0.005","0.003","0.0055",""
"06-19-2025 00:00","1750291207","0.24","0.207","0.0885","","0.125","","0.0035","0.0145","0.1605","0.0045","0.005","0.003","0.005",""
"06-20-2025 00:00","1750377608","0.36","0.25","0.067","","0.125","","0.0035","0.006","0.1505","0.0045","0.005","0.003","0.0055",""
"06-21-2025 00:00","1750464008","0.275","0.245","0.0735","0.28","0.125","","0.0035","0.007","0.1595","0.0045","0.005","0.003","0.0045",""
"06-22-2025 00:00","1750550406","0.27","0.2465","0.1145","0.12","0.15","","0.0035","0.005","0.124","0.0025","0.005","0.0025","0.0045",""
"06-23-2025 00:00","1750636807","0.245","0.25","0.117","0.155","0.105","","0.0035","0.004","0.112","0.0025","0.005","0.0025","0.004",""
"06-24-2025 00:00","1750723207","0.245","0.246","0.1405","0.165","0.11","","0.0035","0.004","0.113","0.0025","0.005","0.0025","0.004",""
"06-25-2025 00:00","1750809607","0.155","0.1975","0.1255","0.3","0.1","0.02","0.0035","0.004","0.0995","0.0025","0.005","0.0025","0.004",""
"06-26-2025 00:00","1750896008","0.18","0.23","0.1735","0.235","0.115","0.0185","0.0035","0.004","0.093","0.0025","0.005","0.0025","0.004",""
"06-27-2025 00:00","1750982407","0.195","0.1985","0.1915","0.22","0.14","0.051","0.0035","0.0025","0.075","0.0025","0.0045","0.0025","0.0035",""
"06-28-2025 00:00","1751068807","0.225","0.2025","0.1755","0.185","0.17","0.023","0.0025","0.0025","0.006","0.0025","0.0045","0.0025","0.0025",""
"06-29-2025 00:00","1751155208","0.23","0.2065","0.1375","0.2","0.17","0.026","0.002","0.0025","0.0105","0.0025","0.0035","0.0025","0.003",""
"06-30-2025 00:00","1751241607","0.235","0.209","0.1345","0.16","0.245","0.0235","0.002","0.0025","0.0065","0.0025","0.003","0.003","0.003",""
"07-01-2025 00:00","1751328008","0.22","0.24","0.1315","0.17","0.21","0.025","0.0005","0.0015","0.011","0.0025","0.0015","0.002","0.0015",""
"07-02-2025 00:00","1751414407","0.295","0.2085","0.136","0.135","0.195","0.012","0.0005","0.003","0.0325","0.0015","0.0025","0.002","0.0015",""
"07-03-2025 00:00","1751500808","0.29","0.2285","0.1385","0.13","0.195","0.0125","0.0005","0.0025","0.0215","0.0015","0.0005","0.0005","0.0015",""
"07-04-2025 00:00","1751587208","0.29","0.224","0.139","0.13","0.21","0.012","0.0005","0.0025","0.0105","0.001","0.0005","0.0005","0.0015",""
"07-05-2025 00:00","1751673608","0.33","0.2025","0.1405","0.13","0.205","0.0105","0.0005","0.0015","0.005","0.0005","0.0015","0.0005","0.0015",""
"07-06-2025 00:00","1751760007","0.335","0.2075","0.1315","0.115","0.195","0.0105","0.0005","0.0005","0.0035","0.0005","0.0015","0.0005","0.0015",""
"07-07-2025 00:00","1751846407","0.335","0.208","0.1305","0.125","0.19","0.0095","0.0005","0.0015","0.0125","0.002","0.0015","0.0005","0.0015",""
"07-08-2025 00:00","1751932808","0.355","0.2125","0.1295","0.105","0.195","0.011","0.0005","0.002","0.011","0.0005","0.0015","0.0005","0.0015",""
"07-09-2025 00:00","1752019207","0.355","0.203","0.1285","0.068","0.24","0.0115","0.0005","0.0025","0.013","0.0005","0.0015","0.0005","0.001",""
"07-10-2025 00:00","1752105608","0.34","0.1695","0.239","0.0455","0.195","0.009","0.0005","0.0015","0.0225","0.0005","0.0005","0.0015","0.0005",""
"07-11-2025 00:00","1752192008","0.315","0.17","0.2555","0.0595","0.19","0.008","0.0005","0.002","0.0175","0.0005","0.0005","0.0005","0.0005",""
"07-12-2025 00:00","1752278409","0.36","0.1855","0.1095","0.1005","0.275","0.0065","0.0005","0.0015","0.0075","0.0005","0.0005","0.0005","0.0005",""
"07-13-2025 00:00","1752364808","0.355","0.1855","0.2105","0.058","0.195","0.01","0.0025","0.0005","0.0035","0.0005","0.0005","0.001","0.0005",""
"07-14-2025 00:00","1752451207","0.35","0.175","0.208","0.0545","0.195","0.007","0.0015","0.0005","0.005","0.0005","0.0005","0.0005","0.0005",""
"07-15-2025 00:00","1752537608","0.36","0.195","0.1855","0.0615","0.175","0.007","0.0005","0.0005","0.0065","0.0005","0.0005","0.0005","0.0005","0.12"
"07-16-2025 00:00","1752624008","0.325","0.191","0.187","0.0545","0.23","0.0065","0.0005","0.0005","0.0045","0.0005","0.0005","0.0005","0.0005","0.002"
"07-17-2025 00:00","1752710408","0.31","0.181","0.194","0.065","0.145","0.004","0.0005","0.001","0.1235","0.0005","0.0005","0.001","0.0005","0.0015"
"07-18-2025 00:00","1752796808","0.295","0.209","0.1855","0.066","0.16","0.004","0.0015","0.001","0.1025","0.002","0.0025","0.0005","0.0015","0.002"
"07-19-2025 00:00","1752883209","0.305","0.201","0.141","0.1245","0.22","0.0095","0.0005","0.0005","0.016","0.0025","0.0005","0.0005","0.0005","0.0015"
"07-20-2025 00:00","1752969608","0.32","0.2395","0.118","0.125","0.195","0.011","0.001","0.0005","0.0105","0.001","0.0025","0.0005","0.0015","0.0015"
"07-21-2025 00:00","1753056007","0.32","0.239","0.12","0.1185","0.19","0.0145","0.001","0.001","0.011","0.001","0.0015","0.0005","0.002","0.0015"
"07-22-2025 00:00","1753142409","0.32","0.229","0.1385","0.174","0.14","0.0065","0.0005","0.001","0.017","0.0005","0.0015","0.0005","0.0015","0.0005"
"07-23-2025 00:00","1753228809","0.295","0.2275","0.1495","0.1665","0.135","0.0065","0.0005","0.0015","0.014","0.0005","0.0015","0.0005","0.0015","0.0015"
"07-24-2025 00:00","1753315209","0.365","0.2235","0.1325","0.162","0.085","0.007","0.0005","0.0005","0.014","0.0005","0.0005","0.0015","0.0015","0.0015"
"07-25-2025 00:00","1753401609","0.395","0.2165","0.136","0.16","0.07","0.007","0.0005","0.0005","0.019","0.0005","0.0015","0.0015","0.0005","0.0015"
"07-26-2025 00:00","1753488009","0.395","0.2185","0.1355","0.158","0.07","0.007","0.0005","0.0005","0.016","0.0005","0.0015","0.0015","0.001","0.001"
"07-27-2025 00:00","1753574410","0.385","0.219","0.138","0.156","0.07","0.007","0.0005","0.0005","0.019","0.0005","0.0015","0.0005","0.001","0.001"
"07-28-2025 00:00","1753660809","0.425","0.223","0.133","0.1575","0.065","0.003","0.0005","0.0005","0.012","0.0005","0.0005","0.0005","0.0005","0.001"
"07-29-2025 00:00","1753747210","0.395","0.227","0.1275","0.142","0.07","0.0035","0.0005","0.0005","0.0115","0.0005","0.0015","0.0005","0.0005","0.001"
"07-30-2025 00:00","1753833610","0.42","0.2325","0.123","0.145","0.065","0.0035","0.0005","0.0005","0.014","0.0005","0.0015","0.0005","0.0005","0.001"
"07-31-2025 00:00","1753920008","0.425","0.2235","0.115","0.1035","0.055","0.004","0.0005","0.0005","0.0195","0.0005","0.0015","0.0005","0.0005","0.001"
"08-01-2025 00:00","1754006409","0.365","0.2395","0.1335","0.1395","0.065","0.0115","0.001","0.0005","0.018","0.0035","0.0015","0.0005","0.0005","0.001"
"08-02-2025 00:00","1754092809","0.285","0.325","0.199","0.073","0.06","0.0215","0.001","0.0015","0.016","0.0015","0.0015","0.0005","0.0005","0.001"
"08-03-2025 00:00","1754179208","0.345","0.3175","0.1265","0.108","0.055","0.0215","0.001","0.0015","0.016","0.0015","0.0015","0.0005","0.0005","0.0005"
"08-04-2025 00:00","1754265607","0.315","0.316","0.1595","0.1145","0.055","0.0215","0.001","0.001","0.016","0.001","0.0015","0.0015","0.0005","0.001"
"08-05-2025 00:00","1754352008","0.3","0.322","0.1565","0.1535","0.055","0.015","0.001","0.001","0.016","0.001","0.0015","0.0015","0.0005","0.001"
"08-06-2025 00:00","1754438409","0.26","0.302","0.2295","0.164","0.0085","0.012","0.0005","0.0005","0.043","0.0005","0.0015","0.0005","0.0005","0.0005"
"08-07-2025 00:00","1754524802","","0.1785","","","0.006","","","","","","","","",""
"08-07-2025 00:00","1754524803","0.345","","","","","","","","","","","","",""
"08-07-2025 00:00","1754524804","","","","","","","","","","","0.0005","","0.0005",""
"08-07-2025 00:00","1754524805","","","","","","","","","","","","","","0.0005"
"08-07-2025 00:00","1754524806","","","","","","","","","","0.0005","","","",""
"08-07-2025 00:00","1754524808","","","0.396","","","0.0005","","","","","","0.0005","",""
"08-07-2025 00:00","1754524809","","","","0.066","","","","0.0005","","","","","",""
"08-07-2025 00:00","1754524810","","","","","","","","","0.0125","","","","",""
"08-07-2025 00:00","1754524811","","","","","","","0.0005","","","","","","",""
"08-08-2025 00:00","1754611202","","0.092","","","","","","","","","","","",""
"08-08-2025 00:00","1754611203","","","","","","","","","0.0035","","","","",""
"08-08-2025 00:00","1754611204","","","","","","","","","","","","0.0005","",""
"08-08-2025 00:00","1754611205","","","","","","0.002","","0.0005","","","","","","0.0005"
"08-08-2025 00:00","1754611206","0.38","","","","","","0.0005","","","0.0005","","","",""
"08-08-2025 00:00","1754611207","","","0.1235","","","","","","","","","","",""
"08-08-2025 00:00","1754611209","","","","0.278","0.0035","","","","","","0.0005","","0.0005",""
"08-09-2025 00:00","1754697602","","","","","","","0.0005","","","","","","",""
"08-09-2025 00:00","1754697605","","","0.1365","","","","","","","","0.0005","","",""
"08-09-2025 00:00","1754697607","0.39","","","","","","","","","","","","",""
"08-09-2025 00:00","1754697608","","0.079","","","","","","0.0005","","","","","",""
"08-09-2025 00:00","1754697609","","","","","","","","","","0.0005","","","","0.0005"
"08-09-2025 00:00","1754697611","","","","","","0.0015","","","","","","","",""
"08-09-2025 00:00","1754697614","","","","0.2655","","","","","0.0165","","","0.0005","0.0005",""
"08-09-2025 00:00","1754697615","","","","","0.005","","","","","","","","",""
"08-10-2025 00:00","1754784002","","","0.127","","","","","0.0005","","","","","",""
"08-10-2025 00:00","1754784005","","","","","","0.002","0.0005","","","0.0005","0.0005","0.0005","",""
"08-10-2025 00:00","1754784007","","","","","0.005","","","","","","","","","0.0005"
"08-10-2025 00:00","1754784008","0.415","","","","","","","","0.0125","","","","",""
"08-10-2025 00:00","1754784009","","0.129","","","","","","","","","","","0.0005",""
"08-10-2025 00:00","1754784010","","","","0.299","","","","","","","","","",""
"08-11-2025 00:00","1754870403","","","","","","","","","","","","","0.0005",""
"08-11-2025 00:00","1754870405","","","","","","","","0.0005","","","","","",""
"08-11-2025 00:00","1754870406","","","","","","","","","0.0135","","0.0005","","",""
"08-11-2025 00:00","1754870407","","","","","","","","","","0.0005","","0.0005","",""
"08-11-2025 00:00","1754870408","0.4","","","0.2865","0.005","","","","","","","","",""
"08-11-2025 00:00","1754870410","","0.129","","","","0.0065","0.0005","","","","","","",""
"08-11-2025 00:00","1754870412","","","0.126","","","","","","","","","","",""
"08-11-2025 00:00","1754870414","","","","","","","","","","","","","","0.0005"
"08-12-2025 00:00","1754956803","","","","","","","","","","","0.0005","","0.0005",""
"08-12-2025 00:00","1754956805","","","","","0.0055","","","0.0005","","","","0.0005","",""
"08-12-2025 00:00","1754956806","","","","","","","","","0.0085","","","","",""
"08-12-2025 00:00","1754956807","","","","0.332","","","","","","","","","",""
"08-12-2025 00:00","1754956808","","0.102","0.1115","","","0.0615","0.0005","","","0.0005","","","","0.001"
"08-12-2025 00:00","1754956809","0.29","","","","","","","","","","","","",""
"08-13-2025 00:00","1755043203","","","","","","","0.0005","","","","","","",""
"08-13-2025 00:00","1755043204","0.335","","","","","","","","","","","","",""
"08-13-2025 00:00","1755043205","","","","0.2945","","","","","","","","","",""
"08-13-2025 00:00","1755043207","","","","","","","","","","","0.0005","","",""
"08-13-2025 00:00","1755043208","","","0.1095","","0.005","","","","","","","","",""
"08-13-2025 00:00","1755043210","","0.1085","","","","","","0.0005","","","","","","0.002"
"08-13-2025 00:00","1755043211","","","","","","","","","","","","","0.0005",""
"08-13-2025 00:00","1755043212","","","","","","0.0275","","","","","","0.0005","",""
"08-13-2025 00:00","1755043213","","","","","","","","","0.0105","","","","",""
"08-13-2025 00:00","1755043214","","","","","","","","","","0.0005","","","",""
"08-14-2025 00:00","1755129602","0.295","","","","","","","","","","","","",""
"08-14-2025 00:00","1755129603","","0.098","","","","","","","","","","","",""
"08-14-2025 00:00","1755129604","","","0.109","0.243","","0.0345","0.0005","","","0.0005","","","",""
"08-14-2025 00:00","1755129606","","","","","","","","0.0005","","","0.0005","","0.0005","0.0015"
"08-14-2025 00:00","1755129607","","","","","","","","","0.011","","","0.0005","",""
"08-14-2025 00:00","1755129608","","","","","0.0045","","","","","","","","",""
"08-15-2025 00:00","1755216002","","","","","","","0.0005","","","","","","",""
"08-15-2025 00:00","1755216003","","0.113","","","","","","","","","","","",""
"08-15-2025 00:00","1755216005","","","","","","","","","","","0.0005","","",""
"08-15-2025 00:00","1755216006","","","","","","0.022","","0.0005","","","","","","0.0015"
"08-15-2025 00:00","1755216007","","","","0.2495","","","","","0.013","0.0005","","","",""
"08-15-2025 00:00","1755216008","0.305","","","","","","","","","","","","",""
"08-15-2025 00:00","1755216010","","","","","","","","","","","","0.0005","",""
"08-15-2025 00:00","1755216011","","","","","0.006","","","","","","","","",""
"08-15-2025 00:00","1755216012","","","0.115","","","","","","","","","","",""
"08-15-2025 00:00","1755216013","","","","","","","","","","","","","0.0005",""
"08-16-2025 00:00","1755302402","","","","","0.007","0.0205","","","","","","","",""
"08-16-2025 00:00","1755302403","0.32","","","","","","","0.0005","","","","","",""
"08-16-2025 00:00","1755302404","","","0.1165","","","","0.0005","","","0.0005","","","","0.001"
"08-16-2025 00:00","1755302405","","0.108","","","","","","","","","0.0005","","",""
"08-16-2025 00:00","1755302406","","","","","","","","","","","","0.0005","",""
"08-16-2025 00:00","1755302408","","","","0.2495","","","","","0.0135","","","","0.0005",""
"08-17-2025 00:00","1755388804","","","0.122","","","","","0.0005","","","0.0005","0.0005","",""
"08-17-2025 00:00","1755388805","","0.1065","","","","","","","","","","","",""
"08-17-2025 00:00","1755388809","","","","","","","0.0005","","","","","","","0.0005"
"08-17-2025 00:00","1755388810","0.325","","","","","","","","0.0135","","","","",""
"08-17-2025 00:00","1755388812","","","","0.295","","0.044","","","","","","","",""
"08-17-2025 00:00","1755388813","","","","","0.0055","","","","","","","","",""
"08-17-2025 00:00","1755388815","","","","","","","","","","0.0005","","","",""
"08-17-2025 00:00","1755388816","","","","","","","","","","","","","0.0005",""
"08-18-2025 00:00","1755475202","","","","","","","","","0.0135","","","","",""
"08-18-2025 00:00","1755475203","","","","","","","","0.0005","","","","","",""
"08-18-2025 00:00","1755475204","","","","","","0.033","","","","","","","",""
"08-18-2025 00:00","1755475206","","0.105","","0.284","","","","","","","","","",""
"08-18-2025 00:00","1755475207","","","0.098","","","","0.0005","","","0.0005","","","","0.0005"
"08-18-2025 00:00","1755475208","","","","","","","","","","","0.0005","0.0005","",""
"08-18-2025 00:00","1755475209","0.33","","","","0.0055","","","","","","","","0.0005",""
"08-19-2025 00:00","1755561604","","","","","","","","","","","","","","0.0005"
"08-19-2025 00:00","1755561605","","","0.0975","","","","","","","","","","",""
"08-19-2025 00:00","1755561606","","","","","","0.023","0.0005","0.0005","","","","","",""
"08-19-2025 00:00","1755561607","0.29","","","","","","","","","","","","",""
"08-19-2025 00:00","1755561608","","0.1035","","","","","","","0.0135","","","0.0005","0.0005",""
"08-19-2025 00:00","1755561610","","","","","0.005","","","","","","","","",""
"08-19-2025 00:00","1755561611","","","","0.287","","","","","","0.0005","","","",""
"08-19-2025 00:00","1755561614","","","","","","","","","","","0.0005","","",""
"08-20-2025 00:00","1755648003","","0.102","","","","0.028","","0.0005","","","","","",""
"08-20-2025 00:00","1755648004","0.345","","","","","","","","","","","","",""
"08-20-2025 00:00","1755648005","","","","","","","","","","","","0.0005","",""
"08-20-2025 00:00","1755648006","","","0.0975","","0.005","","","","","","","","0.0005",""
"08-20-2025 00:00","1755648007","","","","0.279","","","0.0005","","0.0105","","0.0005","","",""
"08-20-2025 00:00","1755648008","","","","","","","","","","0.0005","","","",""
"08-20-2025 00:00","1755648009","","","","","","","","","","","","","","0.0005"
"08-21-2025 00:00","1755734402","0.355","","","","0.0035","","","","","","","","",""
"08-21-2025 00:00","1755734405","","0.1065","","","","","","","","","","","",""
"08-21-2025 00:00","1755734406","","","","","","0.0285","","","0.0085","","0.0005","","0.0005",""
"08-21-2025 00:00","1755734407","","","","","","","","0.0005","","0.0005","","","",""
"08-21-2025 00:00","1755734408","","","","","","","","","","","","0.0005","","0.0005"
"08-21-2025 00:00","1755734409","","","0.098","0.322","","","","","","","","","",""
"08-21-2025 00:00","1755734410","","","","","","","0.0005","","","","","","",""
"08-22-2025 00:00","1755820803","","","","0.32","","0.0105","","","0.0095","","","","",""
"08-22-2025 00:00","1755820804","","","","","0.005","","","","","","","","",""
"08-22-2025 00:00","1755820805","","","","","","","","","","","0.0005","0.0005","",""
"08-22-2025 00:00","1755820806","","","","","","","","","","0.0005","","","",""
"08-22-2025 00:00","1755820807","","","","","","","0.0005","","","","","","",""
"08-22-2025 00:00","1755820808","0.37","0.104","","","","","","","","","","","","0.0005"
"08-22-2025 00:00","1755820809","","","0.0925","","","","","","","","","","0.0005",""
"08-22-2025 00:00","1755820810","","","","","","","","0.0005","","","","","",""
"08-23-2025 00:00","1755907202","","","","","","","","","0.0095","","","","",""
"08-23-2025 00:00","1755907204","","","","","","","","","","0.0005","","","0.0005",""
"08-23-2025 00:00","1755907205","","0.098","","","","","","","","","","","",""
"08-23-2025 00:00","1755907207","","","","","","","","","","","","","","0.0005"
"08-23-2025 00:00","1755907209","","","","","","","","0.0005","","","","0.0005","",""
"08-23-2025 00:00","1755907211","0.385","","0.1075","","","","","","","","","","",""
"08-23-2025 00:00","1755907212","","","","0.313","","0.0105","","","","","","","",""
"08-23-2025 00:00","1755907213","","","","","","","","","","","0.001","","",""
"08-23-2025 00:00","1755907216","","","","","0.005","","0.0005","","","","","","",""
"08-24-2025 00:00","1755993602","","","","","","","0.0005","","","","","0.0005","",""
"08-24-2025 00:00","1755993604","","0.098","","","","","","","","","","","","0.0005"
"08-24-2025 00:00","1755993605","","","","","","","","","0.0095","","","","",""
"08-24-2025 00:00","1755993607","","","","","","","","","","","0.001","","0.0005",""
"08-24-2025 00:00","1755993609","0.38","","0.107","","","0.0385","","0.0005","","0.0005","","","",""
"08-24-2025 00:00","1755993610","","","","0.3505","0.008","","","","","","","","",""
"08-25-2025 00:00","1756080002","","","","","0.006","","","","","","","0.0005","",""
"08-25-2025 00:00","1756080004","","0.089","","","","","","","","","","","",""
"08-25-2025 00:00","1756080006","","","","","","","","","","","0.0005","","",""
"08-25-2025 00:00","1756080009","","","","0.298","","0.0125","","","","","","","",""
"08-25-2025 00:00","1756080010","","","","","","","","0.0005","","","","","","0.0005"
"08-25-2025 00:00","1756080012","","","0.1045","","","","0.0005","","","","","","",""
"08-25-2025 00:00","1756080013","","","","","","","","","","0.0005","","","",""
"08-25-2025 00:00","1756080014","0.375","","","","","","","","","","","","",""
"08-25-2025 00:00","1756080015","","","","","","","","","0.0085","","","","0.0005",""
"08-26-2025 00:00","1756166403","","","0.1065","","","","0.001","0.001","","","","","",""
"08-26-2025 00:00","1756166404","","","","","","","","","","0.0005","","","0.0005",""
"08-26-2025 00:00","1756166405","0.415","","","","","","","","","","","","",""
"08-26-2025 00:00","1756166406","","","","","0.005","","","","","","","","",""
"08-26-2025 00:00","1756166407","","","","0.2705","","","","","","","","0.002","",""
"08-26-2025 00:00","1756166408","","","","","","","","","0.0115","","","","",""
"08-26-2025 00:00","1756166409","","0.0825","","","","0.0105","","","","","0.001","","","0.0015"
"08-27-2025 00:00","1756252802","","","","","","","0.001","","0.0115","","","","",""
"08-27-2025 00:00","1756252803","","","","","","","","","","0.0005","","","",""
"08-27-2025 00:00","1756252806","","0.0955","","","","","","","","","","","",""
"08-27-2025 00:00","1756252807","","","0.1015","","","","","","","","0.001","","",""
"08-27-2025 00:00","1756252809","0.415","","","","","0.0095","","","","","","","",""
"08-27-2025 00:00","1756252810","","","","","","","","0.001","","","","0.0005","",""
"08-27-2025 00:00","1756252811","","","","","0.0075","","","","","","","","0.0005",""
